language   ,word,subj,condition,error ,type  
english,0   ,3   ,A  ,41.578,foil  
english,1   ,3   ,A  ,26.196,target
english,2   ,3   ,A  ,17.818,target
english,3   ,3   ,A  ,33.679,foil  
english,4   ,3   ,A  ,20.347,target
english,5   ,3   ,A  ,19.411,foil  
english,6   ,3   ,A  ,27.4  ,target
english,7   ,3   ,A  ,34.949,foil  
english,8   ,3   ,A  ,39.388,foil  
english,9   ,3   ,A  ,30.219,target
english,10  ,3   ,A  ,26.762,foil  
english,11  ,3   ,A  ,13.191,target
english,12  ,3   ,A  ,28.91 ,foil  
english,13  ,3   ,A  ,9.011 ,target
english,14  ,3   ,A  ,19.391,foil  
english,15  ,3   ,A  ,5.316 ,target
english,16  ,3   ,A  ,13.21 ,target
english,17  ,3   ,A  ,16.655,foil  
english,18  ,3   ,A  ,25.725,target
english,19  ,3   ,A  ,30.964,foil  
english,20  ,3   ,A  ,26.61 ,foil  
english,21  ,3   ,A  ,15.477,target
english,22  ,3   ,A  ,8.183 ,target
english,23  ,3   ,A  ,17.636,foil  
english,24  ,3   ,A  ,10.486,foil  
english,25  ,3   ,A  ,5.04  ,target
english,26  ,3   ,A  ,12.76 ,foil  
english,27  ,3   ,A  ,13.615,target
english,28  ,3   ,A  ,14.131,foil  
english,29  ,3   ,A  ,14.521,target
english,30  ,3   ,A  ,15.947,target
english,31  ,3   ,A  ,17.283,foil  
english,32  ,3   ,A  ,4.931 ,target
english,33  ,3   ,A  ,15.732,foil  
english,34  ,3   ,A  ,11.034,foil  
english,35  ,3   ,A  ,9.065 ,target
english,36  ,3   ,A  ,10.654,target
english,37  ,3   ,A  ,18.39 ,foil  
english,38  ,3   ,A  ,8.659 ,foil  
english,39  ,3   ,A  ,6.398 ,target
english,40  ,3   ,A  ,9.244 ,foil  
english,41  ,3   ,A  ,15.515,target
english,42  ,3   ,A  ,15.578,foil  
english,43  ,3   ,A  ,3.506 ,target
english,44  ,3   ,A  ,5.609 ,target
english,45  ,3   ,A  ,25.83 ,foil  
english,46  ,3   ,A  ,12.532,target
english,47  ,3   ,A  ,29.764,foil  
english,48  ,3   ,A  ,6.109 ,target
english,49  ,3   ,A  ,23.247,foil  
